filename,width,height,class,xmin,ymin,xmax,ymax
Image_150.jpg,854,480,Face,262,278,310,330
Image_150.jpg,854,480,Face,776,799,301,328
Image_150.jpg,854,480,Face,625,640,286,304
Image_150.jpg,854,480,Face,502,509,282,292
Image_150.jpg,854,480,Face,144,162,291,310
Image_150.jpg,854,480,Face,555,572,286,306
Image_150.jpg,854,480,Face,424,446,300,325
Image_150.jpg,854,480,Face,73,89,300,318
Image_150.jpg,854,480,Face,664,679,285,301
Image_150.jpg,854,480,Face,835,853,282,307
Image_144.jpg,854,480,Face,262,278,310,329
Image_144.jpg,854,480,Face,776,799,300,326
Image_144.jpg,854,480,Face,144,162,291,310
Image_144.jpg,854,480,Face,625,640,285,303
Image_144.jpg,854,480,Face,502,509,281,291
Image_144.jpg,854,480,Face,555,572,286,304
Image_144.jpg,854,480,Face,424,446,300,324
Image_144.jpg,854,480,Face,664,679,284,300
Image_144.jpg,854,480,Face,835,853,280,306
Image_144.jpg,854,480,Face,330,345,277,294
Image_144.jpg,854,480,Face,73,88,300,317
Image_144.jpg,854,480,Face,726,734,276,286
Image_144.jpg,854,480,Face,533,547,284,300
Image_178.jpg,854,480,Face,625,640,287,305
Image_178.jpg,854,480,Face,777,800,302,329
Image_178.jpg,854,480,Face,262,278,310,330
Image_178.jpg,854,480,Face,144,162,292,311
Image_178.jpg,854,480,Face,424,446,300,326
Image_178.jpg,854,480,Face,502,510,283,293
Image_178.jpg,854,480,Face,663,679,286,303
Image_178.jpg,854,480,Face,73,89,300,318
Image_178.jpg,854,480,Face,836,853,284,309
Image_178.jpg,854,480,Face,556,572,287,307
Image_178.jpg,854,480,Face,732,742,306,319
Image_178.jpg,854,480,Face,178,194,286,303
Image_178.jpg,854,480,Face,726,734,279,289
Image_1258.jpg,854,480,Face,170,183,395,412
Image_1258.jpg,854,480,Face,41,54,444,461
Image_1258.jpg,854,480,Face,9,22,423,438
Image_1258.jpg,854,480,Face,365,381,380,397
Image_1258.jpg,854,480,Face,413,434,440,464
Image_1258.jpg,854,480,Face,380,395,418,435
Image_1258.jpg,854,480,Face,126,137,379,391
Image_1258.jpg,854,480,Face,650,670,419,443
Image_1258.jpg,854,480,Face,100,111,393,408
Image_1258.jpg,854,480,Face,93,100,394,404
Image_1258.jpg,854,480,Face,781,793,385,399
Image_193.jpg,854,480,Face,261,278,310,330
Image_193.jpg,854,480,Face,143,160,292,310
Image_193.jpg,854,480,Face,623,638,286,304
Image_193.jpg,854,480,Face,774,798,301,327
Image_193.jpg,854,480,Face,422,445,299,326
Image_193.jpg,854,480,Face,554,571,286,306
Image_193.jpg,854,480,Face,834,853,282,308
Image_193.jpg,854,480,Face,71,87,300,317
Image_193.jpg,854,480,Face,662,677,285,302
Image_193.jpg,854,480,Face,501,508,283,292
Image_839.jpg,854,480,Face,541,572,449,479
Image_839.jpg,854,480,Face,439,455,402,420
Image_839.jpg,854,480,Face,401,416,389,405
Image_839.jpg,854,480,Face,42,53,360,374
Image_839.jpg,854,480,Face,483,504,429,453
Image_839.jpg,854,480,Face,647,668,402,425
Image_839.jpg,854,480,Face,566,580,381,402
Image_839.jpg,854,480,Face,481,492,360,376
Image_839.jpg,854,480,Face,387,399,366,380
Image_839.jpg,854,480,Face,684,701,390,407
Image_839.jpg,854,480,Face,130,139,359,370
Image_839.jpg,854,480,Face,700,712,351,365
Image_839.jpg,854,480,Face,163,172,378,388
Image_839.jpg,854,480,Face,107,116,351,362
Image_839.jpg,854,480,Face,619,632,380,395
Image_839.jpg,854,480,Face,124,134,396,409
Image_839.jpg,854,480,Face,454,464,354,366
Image_839.jpg,854,480,Face,186,196,363,376
Image_839.jpg,854,480,Face,182,190,335,345
Image_839.jpg,854,480,Face,7,21,402,418
Image_839.jpg,854,480,Face,68,79,373,386
Image_839.jpg,854,480,Face,0,12,364,381
Image_839.jpg,854,480,Face,611,621,344,357
Image_839.jpg,854,480,Face,149,157,338,348
